"ring_diam_src","angle_src","ring_diam","angle"
6,347,6,0
6,347,6,334
6,347,5,0
6,347,5,345
6,334,6,321
6,334,6,347
6,334,5,330
6,334,5,345
6,321,6,309
6,321,6,334
6,321,5,315
6,321,5,330
6,309,6,296
6,309,6,321
6,309,5,300
6,309,5,315
6,296,6,283
6,296,6,309
6,296,5,285
6,296,5,300
6,283,6,270
6,283,6,296
6,283,5,270
6,283,5,285
6,270,6,257
6,270,6,283
6,270,5,255
6,270,5,270
6,270,5,285
6,257,6,244
6,257,6,270
6,257,5,255
6,257,5,270
6,244,6,231
6,244,6,257
6,244,5,240
6,244,5,255
6,231,6,219
6,231,6,244
6,231,5,225
6,231,5,240
6,219,6,206
6,219,6,231
6,219,5,210
6,219,5,225
6,206,6,193
6,206,6,219
6,206,5,195
6,206,5,210
6,193,6,180
6,193,6,206
6,193,5,180
6,193,5,195
6,180,6,167
6,180,6,193
6,180,5,165
6,180,5,180
6,180,5,195
6,167,6,154
6,167,6,180
6,167,5,165
6,167,5,180
6,154,6,141
6,154,6,167
6,154,5,150
6,154,5,165
6,141,6,129
6,141,6,154
6,141,5,135
6,141,5,150
6,129,6,116
6,129,6,141
6,129,5,120
6,129,5,135
6,116,6,103
6,116,6,129
6,116,5,105
6,116,5,120
6,103,6,90
6,103,6,116
6,103,5,90
6,103,5,105
6,90,6,77
6,90,6,103
6,90,5,75
6,90,5,90
6,90,5,105
6,77,6,64
6,77,6,90
6,77,5,75
6,77,5,90
6,64,6,51
6,64,6,77
6,64,5,60
6,64,5,75
6,51,6,39
6,51,6,64
6,51,5,45
6,51,5,60
6,39,6,26
6,39,6,51
6,39,5,30
6,39,5,45
6,26,6,13
6,26,6,39
6,26,5,15
6,26,5,30
6,13,6,0
6,13,6,26
6,13,5,0
6,13,5,15
6,0,6,13
6,0,6,347
6,0,5,0
6,0,5,15
6,0,5,345
5,345,5,0
5,345,5,330
5,345,6,334
5,345,6,347
5,345,4,0
5,345,4,342
5,330,5,315
5,330,5,345
5,330,6,321
5,330,6,334
